Wall time,Step,Value
1726540645.140258,14400,4.046707630157471
1726540669.533589,14500,4.099470615386963
1726540693.900847,14600,4.103031158447266
1726540718.407273,14700,4.080590724945068
1726540742.965677,14800,4.071719169616699
1726540767.595151,14900,4.062355995178223
1726540791.408097,15000,4.199337005615234
1726540816.192066,15100,4.033175945281982
1726540840.503794,15200,4.113287925720215
1726540865.387108,15300,4.018056392669678
1726540889.459425,15400,4.154407024383545
1726540913.754764,15500,4.116032600402832
1726540938.120689,15600,4.1046881675720215
1726540962.563106,15700,4.091103553771973
1726540986.803078,15800,4.126849174499512
1726541010.475846,15900,4.223042011260986
1726541034.124922,16000,4.228444576263428
1726541058.594361,16100,4.089863300323486
1726541083.724979,16200,3.976006269454956
1726541108.61447,16300,4.0186076164245605
1726541133.227494,16400,4.0615763664245605
1726541157.918848,16500,4.052707195281982
1726541182.624936,16600,4.044870376586914
1726541206.3266,16700,4.221771717071533
1726541230.092249,16800,4.2065277099609375
1726541254.232867,16900,4.141727924346924
1726541278.201103,17000,4.172941207885742
1726541302.70284,17100,4.080118179321289
1726541327.164946,17200,4.0902099609375
1726541351.463762,17300,4.114042282104492
1726541375.787155,17400,4.11214542388916
1726541399.537112,17500,4.2104644775390625
1726541424.095418,17600,4.0698723793029785
1726541448.038039,17700,4.178338050842285
1726541471.756364,17800,4.215478420257568
1726541496.471291,17900,4.045246601104736
1726541520.925474,18000,4.08937406539917
1726541545.340541,18100,4.096278190612793
1726541569.642548,18200,4.115871429443359
1726541593.542649,18300,4.185664653778076
1726541618.73192,18400,3.968069553375244
1726541643.150482,18500,4.095037937164307
1726541667.1802,18600,4.1609907150268555
1726541690.902694,18700,4.215505599975586
1726541714.85595,18800,4.173646926879883
1726541738.274098,18900,4.271277904510498
1726541762.108151,19000,4.196076393127441
1726541786.928816,19100,4.028559684753418
1726541811.176016,19200,4.125923156738281
1726541834.846205,19300,4.224364757537842
1726541858.737013,19400,4.184591770172119
1726541882.346202,19500,4.234719276428223
1726541906.200611,19600,4.1943230628967285
1726541930.014796,19700,4.197943687438965
1726541953.666218,19800,4.2294769287109375
1726541977.561834,19900,4.1842942237854
1726542001.347174,20000,4.203442096710205
1726542026.866455,20100,3.919116735458374
1726542050.389869,20200,4.251891136169434
1726542074.321708,20300,4.178338527679443
1726542098.254065,20400,4.177567481994629
1726542122.02854,20500,4.206078052520752
1726542148.086431,20600,3.837535858154297
1726542171.871252,20700,4.204413414001465
1726542195.874618,20800,4.165964603424072
1726542219.811337,20900,4.177937030792236
1726542244.176704,21000,4.104264736175537
1726542267.847931,21100,4.223609924316406
1726542291.298027,21200,4.265081882476807
1726542314.929973,21300,4.23025369644165
1726542339.293748,21400,4.106029510498047
1726542364.417817,21500,3.9793453216552734
1726542388.371407,21600,4.175645351409912
1726542412.452069,21700,4.152371883392334
1726542436.186673,21800,4.211953163146973
1726542460.667952,21900,4.086538314819336
1726542484.274525,22000,4.240860939025879
1726542509.721781,22100,3.9253385066986084
1726542534.067663,22200,4.106534004211426
1726542558.392243,22300,4.111659526824951
1726542583.043711,22400,4.056048393249512
1726542607.226267,22500,4.135357856750488
1726542632.049628,22600,4.02980899810791
1726542656.947233,22700,4.015385627746582
1726542681.196415,22800,4.123459815979004
1726542705.969322,22900,4.0366435050964355
1726542730.18464,23000,4.130486965179443
1726542754.753064,23100,4.070614337921143
1726542779.068182,23200,4.111708641052246
1726542803.913264,23300,4.0265021324157715
1726542828.953929,23400,3.9926068782806396
1726542853.868329,23500,4.013591766357422
1726542878.361255,23600,4.082396507263184
1726542902.860622,23700,4.08167028427124
1726542926.842267,23800,4.170494079589844
1726542951.64074,23900,4.032167911529541
1726542975.676081,24000,4.161334037780762
1726542999.636652,24100,4.173280715942383
1726543024.263697,24200,4.060484886169434
1726543048.963346,24300,4.049476623535156
1726543073.816254,24400,4.022974491119385
1726543098.289614,24500,4.086917877197266
1726543122.601222,24600,4.113106727600098
1726543146.707824,24700,4.147033214569092
1726543171.507739,24800,4.032827377319336
1726543195.635358,24900,4.1439924240112305
1726543220.128045,25000,4.082517147064209
1726543244.116386,25100,4.169788360595703
1726543268.460117,25200,4.107540130615234
1726543292.610912,25300,4.13976526260376
1726543317.16177,25400,4.073290824890137
1726543341.312355,25500,4.141280651092529
1726543365.728847,25600,4.0951361656188965
1726543390.067176,25700,4.108830451965332
1726543414.315417,25800,4.124569892883301
1726543438.989664,25900,4.0529279708862305
1726543462.952472,26000,4.173093318939209
1726543487.053907,26100,4.148571014404297
1726543511.151752,26200,4.150270938873291
1726543535.199057,26300,4.158002853393555
1726543559.27166,26400,4.154680252075195
1726543583.361408,26500,4.150614261627197
1726543606.732119,26600,4.279377460479736
1726543630.561423,26700,4.196622371673584
1726543654.653171,26800,4.150325298309326
1726543678.227173,26900,4.244129657745361
1726543703.626226,27000,3.93540620803833
1726543727.903826,27100,4.119194507598877
1726543751.438671,27200,4.248817443847656
1726543775.735454,27300,4.115880489349365
1726543800.862658,27400,3.9789178371429443
1726543824.907087,27500,4.159425258636475
1726543849.188052,27600,4.118442535400391
1726543873.422799,27700,4.128738880157471
1726543897.776725,27800,4.104561805725098
1726543922.034622,27900,4.12151575088501
1726543946.648252,28000,4.062471389770508
1726543970.544675,28100,4.185709476470947
1726543994.432322,28200,4.18752384185791
1726544018.804714,28300,4.101719856262207
1726544043.048823,28400,4.124682903289795
1726544066.704829,28500,4.2254157066345215
1726544090.591691,28600,4.188235759735107
1726544114.720947,28700,4.144237995147705
1726544138.90674,28800,4.134140968322754
1726544164.308687,28900,3.9365756511688232
1726544189.514694,29000,3.967808723449707
1726544214.577868,29100,3.989351272583008
1726544238.852822,29200,4.120080947875977
1726544263.109232,29300,4.122109413146973
1726544287.442921,29400,4.110472679138184
1726544311.412782,29500,4.171602725982666
1726544335.843473,29600,4.093980312347412
1726544359.933445,29700,4.149467945098877
1726544384.288926,29800,4.105858325958252
1726544407.95537,29900,4.226414680480957
1726544432.124476,30000,4.137218952178955
1726544456.00327,30100,4.1874308586120605
1726544479.797747,30200,4.202873706817627
1726544503.504276,30300,4.218823432922363
1726544527.319108,30400,4.198877811431885
1726544551.446642,30500,4.144493579864502
1726544575.574949,30600,4.144398212432861
1726544599.218363,30700,4.22925329208374
1726544623.757983,30800,4.074686527252197
1726544648.036702,30900,4.1200032234191895
1726544672.208222,31000,4.137651443481445
1726544696.460451,31100,4.12230110168457
1726544720.302675,31200,4.194125175476074
1726544744.500105,31300,4.133209705352783
1726544768.399454,31400,4.184778690338135
1726544792.519356,31500,4.144807815551758
1726544816.682893,31600,4.13869047164917
1726544840.79983,31700,4.146360397338867
1726544865.091321,31800,4.116921424865723
1726544889.243472,31900,4.140597820281982
1726544913.408724,32000,4.139888286590576
1726544937.41478,32100,4.163893222808838
1726544961.887621,32200,4.085030555725098
1726544986.476367,32300,4.066777229309082
1726545010.410247,32400,4.178711891174316
1726545034.940878,32500,4.07635498046875
1726545058.956111,32600,4.164137363433838
1726545082.93755,32700,4.171863079071045
1726545106.774072,32800,4.193361282348633
1726545130.965439,32900,4.134786605834961
1726545154.355366,33000,4.276944637298584
1726545179.627009,33100,3.954709053039551
1726545203.490404,33200,4.191326141357422
1726545227.573085,33300,4.151426315307617
1726545251.224666,33400,4.228262901306152
1726545274.964938,33500,4.213587284088135
1726545298.999611,33600,4.159867763519287
1726545322.9303,33700,4.178203582763672
1726545347.048599,33800,4.146410942077637
1726545371.130292,33900,4.153301239013672
1726545395.445559,34000,4.112340927124023
1726545419.334594,34100,4.185678482055664
1726545444.021517,34200,4.050290584564209
1726545468.416784,34300,4.100953578948975
1726545492.100144,34400,4.2214674949646
1726545516.10613,34500,4.165875434875488
1726545540.28667,34600,4.135299205780029
1726545564.434928,34700,4.140392780303955
1726545588.989882,34800,4.072147846221924
1726545612.98306,34900,4.168580055236816
1726545637.024097,35000,4.160633087158203
1726545661.114916,35100,4.1486077308654785
1726545685.528814,35200,4.098315715789795
1726545709.766323,35300,4.124613285064697
1726545734.488721,35400,4.044378757476807
1726545758.507022,35500,4.1646294593811035
1726545783.889847,35600,3.938551902770996
1726545808.424762,35700,4.076259136199951
1726545832.888529,35800,4.08717679977417
1726545856.971824,35900,4.153227806091309
1726545881.281826,36000,4.113283634185791
1726545906.073135,36100,4.033978462219238
1726545929.683367,36200,4.234676361083984
1726545953.850711,36300,4.138481616973877
1726545979.146995,36400,3.952697277069092
1726546003.737033,36500,4.066259384155273
1726546027.786476,36600,4.159440994262695
1726546051.650681,36700,4.189844608306885
1726546076.70444,36800,3.990891933441162
1726546101.162969,36900,4.089648246765137
1726546125.610586,37000,4.090343952178955
1726546150.352575,37100,4.043092250823975
1726546174.755671,37200,4.09556245803833
1726546199.683236,37300,4.012537002563477
1726546224.964596,37400,3.954519510269165
1726546249.635092,37500,4.053959846496582
1726546275.10434,37600,3.9264628887176514
1726546300.905469,37700,3.8757009506225586
1726546326.527657,37800,3.9018988609313965
1726546351.256772,37900,4.04486608505249
1726546376.585648,38000,3.947313070297241
1726546401.56316,38100,4.004997730255127
1726546426.326858,38200,4.036540508270264
1726546451.285252,38300,4.006824016571045
1726546476.42209,38400,3.9781107902526855
1726546501.496567,38500,3.9883220195770264
1726546526.098461,38600,4.06455135345459
1726546550.763719,38700,4.054228782653809
1726546575.16973,38800,4.097850322723389
1726546599.885504,38900,4.047633647918701
1726546624.824773,39000,4.009802341461182
1726546649.348091,39100,4.0756754875183105
1726546674.219489,39200,4.020346641540527
1726546698.899719,39300,4.05208683013916
1726546723.550082,39400,4.057356357574463
1726546748.412464,39500,4.021092414855957
1726546773.124738,39600,4.047689914703369
1726546797.789789,39700,4.0546441078186035
1726546822.126814,39800,4.108755588531494
1726546847.346073,39900,3.9644336700439453
1726546872.047963,40000,4.048194885253906
